#TYPE Selected.System.ServiceProcess.ServiceController
"Name","DisplayName","Status"
"GoogleUpdaterInternalService142.0.7416.0","Google Updater Internal Service (GoogleUpdaterInternalService142.0.7416.0)","Stopped"
"GoogleUpdaterService142.0.7416.0","Google Updater Service (GoogleUpdaterService142.0.7416.0)","Stopped"
"GraphicsPerfSvc","GraphicsPerfSvc","Stopped"
"gpsvc","Group Policy Client","Stopped"
"hidserv","Human Interface Device Service","Stopped"
"HvHost","HV Host Service","Stopped"
"vmickvpexchange","Hyper-V Data Exchange Service","Stopped"
"vmicguestinterface","Hyper-V Guest Service Interface","Stopped"
"vmicshutdown","Hyper-V Guest Shutdown Service","Stopped"
"vmicheartbeat","Hyper-V Heartbeat Service","Stopped"
"vmicvmsession","Hyper-V PowerShell Direct Service","Stopped"
"vmicrdv","Hyper-V Remote Desktop Virtualization Service","Stopped"
"vmictimesync","Hyper-V Time Synchronization Service","Stopped"
"vmicvss","Hyper-V Volume Shadow Copy Requestor","Stopped"
"IKEEXT","IKE and AuthIP IPsec Keying Modules","Stopped"
"irmon","Infrared monitor service","Stopped"
"SharedAccess","Internet Connection Sharing (ICS)","Stopped"
"IpxlatCfgSvc","IP Translation Configuration Service","Stopped"
"PolicyAgent","IPsec Policy Agent","Stopped"
"KtmRm","KtmRm for Distributed Transaction Coordinator","Stopped"
"LxpSvc","Language Experience Service","Stopped"
"lltdsvc","Link-Layer Topology Discovery Mapper","Stopped"
"wlpasvc","Local Profile Assistant Service","Stopped"
"MessagingService_19ba179","MessagingService_19ba179","Stopped"
"diagnosticshub.standardcollector.service","Microsoft (R) Diagnostics Hub Standard Collector Service","Stopped"
"wlidsvc","Microsoft Account Sign-in Assistant","Stopped"
"AppVClient","Microsoft App-V Client","Stopped"
"MSiSCSI","Microsoft iSCSI Initiator Service","Stopped"
"NgcSvc","Microsoft Passport","Stopped"
"NgcCtnrSvc","Microsoft Passport Container","Stopped"
"swprv","Microsoft Software Shadow Copy Provider","Stopped"
"smphost","Microsoft Storage Spaces SMP","Stopped"
"InstallService","Microsoft Store Install Service","Stopped"
"SmsRouter","Microsoft Windows SMS Router Service.","Stopped"
"NaturalAuthentication","Natural Authentication","Stopped"
"NetTcpPortSharing","Net.Tcp Port Sharing Service","Stopped"
"Netlogon","Netlogon","Stopped"
"NcdAutoSetup","Network Connected Devices Auto-Setup","Stopped"
"Netman","Network Connections","Stopped"
"NcaSvc","Network Connectivity Assistant","Stopped"
"NetSetupSvc","Network Setup Service","Stopped"
"CscService","Offline Files","Stopped"
"ssh-agent","OpenSSH Authentication Agent","Stopped"
"defragsvc","Optimize drives","Stopped"
"WpcMonSvc","Parental Controls","Stopped"
"SEMgrSvc","Payments and NFC/SE Manager","Stopped"
"PNRPsvc","Peer Name Resolution Protocol","Stopped"
"p2psvc","Peer Networking Grouping","Stopped"
"p2pimsvc","Peer Networking Identity Manager","Stopped"
"PerfHost","Performance Counter DLL Host","Stopped"
"pla","Performance Logs & Alerts","Stopped"
"PhoneSvc","Phone Service","Stopped"
"PNRPAutoReg","PNRP Machine Name Publication Service","Stopped"
"WPDBusEnum","Portable Device Enumerator Service","Stopped"
"PrintNotify","Printer Extensions and Notifications","Stopped"
"PrintWorkflowUserSvc_19ba179","PrintWorkflow_19ba179","Stopped"
"wercplsupport","Problem Reports and Solutions Control Panel Support","Stopped"
"QWAVE","Quality Windows Audio Video Experience","Stopped"
"RmSvc","Radio Management Service","Stopped"
"RasAuto","Remote Access Auto Connection Manager","Stopped"
"RasMan","Remote Access Connection Manager","Stopped"
"SessionEnv","Remote Desktop Configuration","Stopped"
"TermService","Remote Desktop Services","Stopped"
"UmRdpService","Remote Desktop Services UserMode Port Redirector","Stopped"
"RpcLocator","Remote Procedure Call (RPC) Locator","Stopped"
"RemoteRegistry","Remote Registry","Stopped"
"RetailDemo","Retail Demo Service","Stopped"
"RemoteAccess","Routing and Remote Access","Stopped"
"seclogon","Secondary Logon","Stopped"
"SstpSvc","Secure Socket Tunneling Protocol Service","Stopped"
"SensorDataService","Sensor Data Service","Stopped"
"SensrSvc","Sensor Monitoring Service","Stopped"
"SensorService","Sensor Service","Stopped"
"shpamsvc","Shared PC Account Manager","Stopped"
"SCardSvr","Smart Card","Stopped"
"ScDeviceEnum","Smart Card Device Enumeration Service","Stopped"
"SCPolicySvc","Smart Card Removal Policy","Stopped"
"SNMPTRAP","SNMP Trap","Stopped"
"sppsvc","Software Protection","Stopped"
"SharedRealitySvc","Spatial Data Service","Stopped"
"svsvc","Spot Verifier","Stopped"
"WiaRpc","Still Image Acquisition Events","Stopped"
"TieringEngineService","Storage Tiers Management","Stopped"
"TapiSrv","Telephony","Stopped"
"upnphost","UPnP Device Host","Stopped"
"UserDataSvc_19ba179","User Data Access_19ba179","Stopped"
"UnistoreSvc_19ba179","User Data Storage_19ba179","Stopped"
"UevAgentService","User Experience Virtualization Service","Stopped"
"VirtioFsSvc","VirtIO-FS Service","Stopped"
"vds","Virtual Disk","Stopped"
"vmvss","VMware Snapshot Provider","Stopped"
"VMTools","VMware Tools","Stopped"
"VSS","Volume Shadow Copy","Stopped"
"VacSvc","Volumetric Audio Compositor Service","Stopped"
"WalletService","WalletService","Stopped"
"WarpJITSvc","WarpJITSvc","Stopped"
"WebClient","WebClient","Stopped"
"WFDSConMgrSvc","Wi-Fi Direct Services Connection Manager Service","Stopped"
"SDRSVC","Windows Backup","Stopped"
"WbioSrvc","Windows Biometric Service","Stopped"
"FrameServer","Windows Camera Frame Server","Stopped"
"wcncsvc","Windows Connect Now - Config Registrar","Stopped"
"Sense","Windows Defender Advanced Threat Protection Service","Stopped"
"WEPHOSTSVC","Windows Encryption Provider Host Service","Stopped"
"WerSvc","Windows Error Reporting Service","Stopped"
"Wecsvc","Windows Event Collector","Stopped"
"stisvc","Windows Image Acquisition (WIA)","Stopped"
"wisvc","Windows Insider Service","Stopped"
"msiserver","Windows Installer","Stopped"
"WManSvc","Windows Management Service","Stopped"
"WMPNetworkSvc","Windows Media Player Network Sharing Service","Stopped"
"icssvc","Windows Mobile Hotspot Service","Stopped"
"TrustedInstaller","Windows Modules Installer","Stopped"
"spectrum","Windows Perception Service","Stopped"
"perceptionsimulation","Windows Perception Simulation Service","Stopped"
"PushToInstall","Windows PushToInstall Service","Stopped"
"WinRM","Windows Remote Management (WS-Management)","Stopped"
"WSearch","Windows Search","Stopped"
"W32Time","Windows Time","Stopped"
"wuauserv","Windows Update","Stopped"
"WaaSMedicSvc","Windows Update Medic Service","Stopped"
"dot3svc","Wired AutoConfig","Stopped"
"WlanSvc","WLAN AutoConfig","Stopped"
"wmiApSrv","WMI Performance Adapter","Stopped"
"workfolderssvc","Work Folders","Stopped"
"WwanSvc","WWAN AutoConfig","Stopped"
"XboxGipSvc","Xbox Accessory Management Service","Stopped"
"XblAuthManager","Xbox Live Auth Manager","Stopped"
"XblGameSave","Xbox Live Game Save","Stopped"
"XboxNetApiSvc","Xbox Live Networking Service","Stopped"
